Date,Forecasted_Sales
989,1774.1224718539413
990,2119.2580532159827
991,2666.635156194895
992,2506.937961860159
993,1718.5353378032567
994,1709.1488192244265
995,2021.398334787922
996,2096.8218262653927
997,2145.339943509436
998,2076.2630868811825
999,1963.7197147678987
1000,1983.045689082234
1001,2037.797289279765
1002,2049.306394842244
1003,2049.040037471271
1004,2032.713305350872
1005,2018.2023763200398
1006,2024.776440540605
1007,2033.9394872305404
1008,2035.062289975672
1009,2033.600913571439
1010,2030.488949754657
1011,2028.9258856069239
1012,2030.514091601571
1013,2031.9484516985183
1014,2031.920095580704
1015,2031.4650294195374
1016,2030.9513516165753
1017,2030.8487977806128
1018,2031.1766420689032
1019,2031.3811848003475
1020,2031.3315436154396
1021,2031.2287937231888
1022,2031.1551146532206
1023,2031.1649459699001
1024,2031.225765288289
1025,2031.2509566428582
1026,2031.2346652326391
1027,2031.2150009436896
1028,2031.2063137802236
1029,2031.212168525566
1030,2031.2224635973566
1031,2031.2247331758658
1032,2031.2207658115003
1033,2031.217448067625
1034,2031.216801414561
1035,2031.2183718597905
1036,2031.219956872322
1037,2031.2199633456553
1038,2031.2191352896732
1039,2031.2186425836114
1040,2031.2186879932894
1041,2031.2190212890791
1042,2031.2192379471498
1043,2031.2191740810833
1044,2031.2190192358694
1045,2031.2189576721987
1046,2031.2189913351363
1047,2031.2190529637546
1048,2031.2190773996263
1049,2031.2190564733626
1050,2031.2190301731275
1051,2031.2190247903109
1052,2031.2190343709976
1053,2031.2190445546341
1054,2031.219046214167
1055,2031.2190412807456
1056,2031.2190372420798
1057,2031.219037322041
1058,2031.219039442536
1059,2031.219040937485
1060,2031.2190407700894
1061,2031.2190397785948
1062,2031.2190392333728
1063,2031.2190394204308
1064,2031.219039827592
1065,2031.219040014129
1066,2031.2190399123713
1067,2031.2190397344166
1068,2031.21903967518
1069,2031.2190397340585
1070,2031.2190398040425
1071,2031.2190398207797
1072,2031.2190397927852
1073,2031.2190397639522
1074,2031.219039760633
1075,2031.2190397743407
1076,2031.2190397851232
1077,2031.2190397850918
1078,2031.219039778998
